County,Population,Population Change Since 2014,Median Age,Population Under Age 18,Population Aged 65+,Veteran Population,Agricultural Land,Percent Change in Ag Land since 2017,Number of Farms,Percent Change in Num of Farms since 2017,Broadband Internet Access 2022 ,Broadband Internet Access 2019 ,Computing Device Access 2022 ,Computing Device Access 2019 ,Percent Children in Poverty,Average Weekly Wage,Per Capita Income 2022,Gross Domestic Product 2022,Gross Domestic Product 2021,Pre-K Enrollment 2023,Pre-K Enrollment 2022,K-12 Current Expense Funding per pupil,Total Funding for K-12,Opportunity Youth 2022,Opportunity Youth 2019,Adults Without a High School Diploma,Educational Attainment,Food Insecurity 2022,Food Insecurity 2021,Traditional Medicaid Enrollment %,Medicaid Expansion Enrollment %,Uninsured Residents 2021,Uninsured Residents 2020,"ER visits for Drug Overdose Per 100,000","Overdose Deaths Per 100,000",Property Tax Rates 2024,Property Tax Rates 2023,Property Tax Levy Per Capita,Taxable Property Valuation Per Capita,Sales Taxes
Alamance,184114,28556,40.22,0.2051,0.1908,0.0514,68769,-0.1408,724,0.0056,0.86,0.78,0.82,0.79,0.15,978,48980,6675,6675,0.4744,0.464,1971,48.83,0.1249,0.1011,0.1107,0.4768,0.143,0.114,0.312,0.0728,0.14,0.145,168,34.2,0.469,0.432,601.4,139210,0.0675
Alexander,36464,-359,44.23,0.1844,0.2163,0.0535,50799,-0.0618,535,-0.0165,0.84,0.74,0.77,0.74,0.209,841,48035,884,844,0.3487,0.3383,1734,7.38,0.167,0.1631,0.1145,0.3691,0.149,0.116,0.294,0.0834,0.129,0.125,163,29.3,0.65,0.67,745,111194,0.07
Alleghany,11464,540,45.93,0.1675,0.2668,0.0725,63298,-0.1033,435,-0.029,0.79,0.76,0.72,0.72,0.253,779,44464,303,303,1.127,0.9863,2171,2.86,0.1432,0.1597,0.2228,0.3773,0.18,0.158,0.3109,0.0921,0.184,0.17,135,44.9,0.597,0.597,1093,183090,0.07
Anson,22059,-3079,40.29,0.2108,0.1949,0.0633,84695,-0.0074,421,0.0218,0.83,0.75,0.71,0.69,0.326,857,50187,837,762,0.6095,1.0131,N/A, N/A ,0.1033,0.1552,0.1399,0.2314,0.161,0.125,0.4601,0.1418,0.13,0.128,160,28.6,0.777,0.777,784,100898,0.07
Ashe,27196,514,48.34,0.167,0.271,0.0553,84498,-0.2304,760,-0.1204,0.79,0.7,0.79,0.74,0.206,859,44433,778,763,0.7879,1.2952,2390,6.3,0.0554,0.0561,0.0904,0.4385,0.162,0.131,0.2791,0.0797,0.137,0.138,96,25.7,0.44,0.44,977.2,222082,0.07
Avery,17395,-357,46.13,0.1526,0.2364,0.0513,22598,-0.212,335,-0.0456,0.81,0.71,0.78,0.73,0.205,808,45653,630,632,0.7561,0.8537,2889,5.4,0.0551,0.0587,0.1234,0.3872,0.153,0.131,0.2515,0.0666,0.155,0.163,103,28.5,0.4,0.4,1411.9,352969,0.0675
Beaufort,43593,-2822,46.1,0.1912,0.269,0.0736,139853,0.0027,259,-0.1645,0.81,0.69,0.78,0.74,0.282,906,54554,1862,1876,0.5159,0.4664,2590,15.58,0.1857,0.1354,0.1211,0.4051,0.157,0.132,0.3677,0.1136,0.138,0.137,81,51.1,0.625,0.625,921.1,147379,0.0675
Bertie,16739,-3011,40.6,0.1945,0.21,0.0648,161862,0.0928,288,-0.1084,0.64,0.58,0.69,0.63,0.349,812,49409,641,629,0.7935,0.8911,1852,3.03,0.1854,0.1846,0.1683,0.3683,0.16,0.141,0.436,0.115,0.117,0.114,69,31.7,0.93,0.865,765.4,88483,0.07
Bladen,28850,-4001,38.26,0.223,0.1952,0.0728,146195,-0.1893,423,-0.1738,0.8,0.7,0.7,0.7,0.275,884,48424,1414,1416,0.9734,0.8716,1739,8.02,0.2067,0.2241,0.0879,0.3607,0.175,0.147,0.463,0.1192,0.145,0.155,208,58.1,0.785,0.785,963.3,122716,0.0675
Brunswick,166886,51407,53.5,0.1394,0.3252,0.087,45150,0.0102,238,0.0303,0.93,0.85,0.9,0.87,0.165,951,58281,5647,5377,0.5195,0.4935,3694,54.43,0.1241,0.1515,0.0811,0.4827,0.135,0.112,0.2242,0.0814,0.122,0.117,77,45.5,0.342,0.342,1075.5,314470,0.0675
Buncombe,279331,26947,44.04,0.1688,0.2266,0.063,78245,0.0825,1074,0.0009,0.86,0.82,0.83,0.82,0.154,1076,61560,15337,14892,0.4622,0.4104,3908,113.27,0.1137,0.1154,0.0717,0.6035,0.145,0.119,0.2393,0.0746,0.126,0.145,199,57.8,0.5176,0.498,924.9,185727,0.07
